index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
87,Female,Black or African American,23,2/23/2023,N/A,International,Ghana,Accra,Psychology: Psychological Sciences (MA),Complete App,88
88,Male,None Listed,33,12/21/2022,233,International,Ghana,Ashanti,Data Science (MS),Submitted App,89
89,Male,Black or African American,37,2/20/2023,Ak-002-0446,International,Ghana,Ashanti,Public Administration - On Campus (MPA),Submitted App,90
90,Female,Black or African American,23,3/9/2022,12036,International,Ghana,Ashanti,Biology: Computational and Integrative (PHD),Denied,91
91,Male,Black or African American,40,2/21/2023,233,International,Ghana,Ashanti,Business and Science - Computer and Information Sciences (MBS) Camden,Admit-Coming,92
92,Male,Black or African American,34,1/30/2023,2,International,Ghana,Battor,Computer Science: Scientific Computing (MS),Submitted App,93
93,Male,Black or African American,45,4/27/2022,P. O. Box SY 1705,International,Ghana,Bono,Childhood Studies (PHD),Started App,94
94,Female,Black or African American,28,10/1/2022,233,International,Ghana,Bono,Childhood Studies (PHD),Denied,95
95,Female,Black or African American,35,1/23/2023,123,International,Ghana,Bono,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,96
96,Male,None Listed,27,3/10/2023,233,International,Ghana,Cape Coast,English (MA),Complete App,97
97,Male,Black or African American,22,6/12/2022,23,International,Ghana,Central Region,Computer Science: Scientific Computing (MS),Started App,98
98,Female,Black or African American,23,2/21/2023,GD-043-4750,International,Ghana,Greater Accra,Biology: Computational and Integrative (MS),Denied,99
99,Male,None Listed,27,1/19/2023,233,International,Ghana,Greater Accra,Chemistry (MS),Admit-Coming,100
100,Male,Black or African American,27,2/5/2023,,International,Ghana,Greater Accra,Data Science (MS),Complete App,101
101,Male,Black or African American,43,2/27/2023,233,International,Ghana,Greater Accra,English (MA),Complete App,102
102,Male,Black or African American,27,1/18/2023,23321,International,Ghana,Greater Accra,Forensic Science (MS),Complete App,103
103,Female,Black or African American,33,9/19/2022,P. O. BOX 8414,International,Ghana,Greater Accra,Prevention Science (PHD),Started App,104
104,Female,Black or African American,33,2/18/2022,P. O. BOX 8414,International,Ghana,Greater Accra,Psychology: Psychological Sciences (MA),Complete App,105
105,Male,Black or African American,35,12/7/2022,233,International,Ghana,Greater Accra,Public Administration - On Campus (MPA),Complete App,106
106,Male,Black or African American,23,10/28/2022,CT 1620,International,Ghana,Greater Accra,Data Science (MS),Started App,107
107,Male,Black or African American,24,1/23/2023,233,International,Ghana,Greater Accra,Data Science (MS),Started App,108
108,Female,Black or African American,27,1/7/2023,233,International,Ghana,None Listed,Public Administration - On Campus (MPA),Admit-Coming,109
109,Male,Black or African American,24,9/7/2022,233,International,Ghana,None Listed,Computer Science: Scientific Computing (MS),Started App,110
110,Male,Black or African American,40,2/27/2023,1652,International,Ghana,Northern Region,English (MA),Complete App,111
111,Male,Black or African American,23,2/21/2023,,International,Ghana,None Listed,Biology: Computational and Integrative (MS),Complete App,112
112,Male,Black or African American,24,3/7/2023,UB-0169-5502,International,Ghana,Upper East,Data Science (MS),Submitted App,113
113,Male,Black or African American,23,10/14/2022,233,International,Ghana,Volta,Data Science (MS),Started App,114
114,Male,Black or African American,27,3/10/2023,61,International,Ghana,Volta,Chemistry (MS),Complete App,115
115,Male,Black or African American,31,1/27/2023,233,International,Ghana,Volta,Public Administration - On Campus (MPA),Admit-Coming,116
116,Female,Black or African American,23,2/19/2023,GH,International,Ghana,None Listed,Biology (MS),Started App,117
117,Male,Black or African American,29,1/17/2023,233,International,Ghana,None Listed,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,118
118,Male,Black or African American,30,12/1/2022,233,International,Ghana,None Listed,Chemistry (MS),Started App,119
119,Female,Black or African American,23,12/13/2022,233,International,Ghana,None Listed,Creative Writing (MFA) Camden,Started App,120
120,Female,Black or African American,23,12/20/2022,,International,Ghana,None Listed,Creative Writing (MFA) Camden,Complete App,121
121,Male,Black or African American,23,2/9/2023,233,International,Ghana,None Listed,Data Science (MS),Started App,122
122,Male,Black or African American,27,4/6/2022,233,International,Ghana,None Listed,English (MA),Submitted App,123
123,Female,Black or African American,25,2/25/2023,233,International,Ghana,None Listed,Psychology: Psychological Sciences (MA),Complete App,124
124,Female,White,24,3/9/2023,15342,International,Greece,Athens,Psychology: Psychological Sciences (MA),Complete App,125
125,Male,Black or African American,27,1/22/2022,1,International,Guinea,Conakry,Public Administration - On Campus (MPA),Submitted App,126
126,Female,Asian,21,2/27/2023,0,Domestic,Hong Kong,None Listed,Prevention Science (MS),Complete App,127
127,Male,None Listed,21,11/20/2022,524004,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,128
128,Male,Asian,27,3/11/2022,521101,International,India,Andhra Pradedsh,Biology: Computational and Integrative (MS),Started App,129
129,Female,Asian,21,2/20/2023,535001,International,India,Andhra Pradedsh,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,130
130,Male,Asian,35,9/7/2022,521301,International,India,Andhra Pradedsh,Business and Science - Computer and Information Sciences (MBS) Camden,Submitted App,131
131,Male,Asian,23,3/10/2023,521345,Domestic,India,Andhra Pradedsh,Chemistry (MS),Complete App,132
132,Male,Asian,21,2/13/2023,521215,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Started App,133
133,Male,Asian,35,4/7/2022,521301,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Submitted App,134
134,Male,Asian,26,1/12/2023,524101,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Submitted App,135
135,Female,Asian,25,3/3/2023,530011,International,India,Andhra Pradedsh,Computer Science: Scientific Computing (MS),Submitted App,136
