City,State,Lat,Long,Country,Date Started App,Date Submitted App,Program,Status
Bangalore,Karnataka,12.9789,77.5917,India,44902,44906,Computer Science: Scientific Computing (MS),Complete App
Bangalore,Karnataka,12.9789,77.5917,India,44948,44956,Computer Science: Scientific Computing (MS),Admit
Bangalore,Karnataka,12.9789,77.5917,India,44908,44908,Computer Science: Scientific Computing (MS),Denied
Bangalore,Karnataka,12.9789,77.5917,India,44936,44936,Computer Science: Scientific Computing (MS),Denied
Bangalore,Karnataka,12.9789,77.5917,India,44893,,Data Science (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44926,,Data Science (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44973,,Data Science (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44979,,Data Science (MS),Started App
Bangalore,Karnataka,12.9789,77.5917,India,44970,44970,Data Science (MS),Submitted App
Bangalore,Karnataka,12.9789,77.5917,India,44915,44925,Data Science (MS),Complete App
Bangalore,Karnataka,12.9789,77.5917,India,44933,44940,Data Science (MS),Admit-Coming
Bangalore,Karnataka,12.9789,77.5917,India,44933,44933,Data Science (MS),Admit-Coming
Bangalore,Karnataka,12.9789,77.5917,India,44984,44984,Data Science (MS),Admit-Coming
Bangalore,Karnataka,12.9789,77.5917,India,44820,44985,Psychology: Psychological Sciences (MA),Denied
Bangalore,Karnataka,12.9789,77.5917,India,44863,44893,Public Affairs/Community Development (MS),Complete App
Bareilly,Uttar Pradesh,28.364,79.415,India,44915,44924,Data Science (MS),Admit
Barrington,New Jersey,42.1515,-88.1281,United States,44895,44922,"History (American, Global, Public) (MA)",Admit-Withdrawn
Barrington,New Jersey,42.1515,-88.1281,United States,45020,45040,Teacher Education (MAT),Submitted App
Basking Ridge,New Jersey,40.7061,-74.5568,United States,45015,,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Started App
Baton Rouge,Louisiana,30.442,-91.1311,United States,45001,45005,Computer Science: Scientific Computing (MS),Denied
Baton Rouge,Louisiana,30.442,-91.1311,United States,44997,44999,Data Science (MS),Complete App
Baton Rouge,Louisiana,30.442,-91.1311,United States,44751,44874,Psychology: Psychological Sciences (MA),Complete App
Bayonne,New Jersey,40.6668,-74.1158,United States,44924,,Data Science (MS),Started App
Bayonne,New Jersey,40.6668,-74.1158,United States,44983,44983,Psychology: Psychological Sciences (MA),Complete App
Beaver Falls,Pennsylvania,40.7619,-80.3226,United States,44858,44866,Public Administration - On Campus (MPA),Admit
Beijing,Beijing,39.904,116.4075,China,44551,44553,Childhood Studies (PHD),Admit
Beijing,Beijing,39.904,116.4075,China,44891,44891,Data Science (MS),Admit
Beijing,Beijing,39.904,116.4075,China,44932,,Psychology: Psychological Sciences (MA),Started App
Beijing,Beijing,39.904,116.4075,China,44872,44896,Psychology: Psychological Sciences (MA),Complete App
Belle Mead,New Jersey,40.4684,-74.6559,United States,44606,44606,Business and Science - Computer and Information Sciences - 4 + 1 (MBS) Camden,Submitted App
Belleville,New Jersey,38.5164,-89.99,United States,44545,44545,Mathematical Sciences (MS),Admit-Coming
Bellmawr,New Jersey,39.8666,-75.0941,United States,44771,44771,Computer Science: Scientific Computing (MS),Submitted App
Bellmawr,New Jersey,39.8666,-75.0941,United States,44827,,Forensic Science (MS),Started App
Bellmawr,New Jersey,39.8666,-75.0941,United States,44960,,Teacher Education (MAT),Started App
Beloit,Wisconsin,42.523,-89.0184,United States,44912,,Creative Writing (MFA) Camden,Started App
Beltsville,Maryland,39.0394,-76.9211,United States,44658,,Business and Science - Computer and Information Sciences (MBS) Camden,Started App
Bengaluru,Karnataka,12.802464,77.704957,India,44956,44958,Computer Science: Scientific Computing (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44844,44881,Computer Science: Scientific Computing (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44876,44908,Computer Science: Scientific Computing (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44950,44951,Computer Science: Scientific Computing (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44938,44941,Computer Science: Scientific Computing (MS),Complete App
Bengaluru,Karnataka,12.802464,77.704957,India,44905,44905,Computer Science: Scientific Computing (MS),Denied
Bengaluru,Karnataka,12.802464,77.704957,India,44853,,Data Science (MS),Started App
